run_id,experiment_family,scenario_id,condition,topology,status,correctness_status,link_operstate,detector_operstate,fault_interface,detector_interface,injector_detector_isolated,selected_retention,fault_period_retention,post_recovery_retention,baseline_median_mbit_s,selected_median_mbit_s,switch_triggered,l_switch_ms,host_action,l_host_ms,recovery_committed,l_coordination_ms,l_fault_to_commit_ms,l_detection_ms,l_commit_to_recovered_round_ms,l_fault_to_recovered_round_complete_ms,recovery_policy,changed_slot_count,changed_sender_ranks,active_active_use_passed,locality_passed,checksum_errors,version_errors,gate_pass,gate_failures,run_directory
aa12_policy_rep01,active_active_v1,AA12_POLICY,C3,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.7465206329637447,0.7465206329637447,,71.43432065038925,53.327194267263685,True,246.208042,suppress,5295.68349,False,,,,,,localized,0,[],True,,0,0,True,,results_m4b_policy_v2/aa12_policy_stay/aa12_policy_rep01
aa12_policy_rep02,active_active_v1,AA12_POLICY,C3,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.8556137010409979,0.8556137010409979,,71.51411013712091,61.18845245107556,True,213.752482,suppress,5843.156233,False,,,,,,localized,0,[],True,,0,0,True,,results_m4b_policy_v2/aa12_policy_stay/aa12_policy_rep02
aa12_policy_rep03,active_active_v1,AA12_POLICY,C3,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.9874891068125433,0.9874891068125433,,71.40163032288234,70.50833215250249,True,41.442877,suppress,5529.196884,False,,,,,,localized,0,[],True,,0,0,True,,results_m4b_policy_v2/aa12_policy_stay/aa12_policy_rep03
