round_id,period,route,version,duration_ns,duration_s,bytes_completed,rank_count,checksum_errors,version_errors,orchestrator_command_start_ns,orchestrator_command_end_ns,orchestrator_duration_ns
0,warmup,A,0,1167475905,1.167475905,50331648,4,0,0,310634503155395,310635673818068,1170662673
1,baseline,A,0,1155013396,1.155013396,50331648,4,0,0,310635673904929,310636835225381,1161320452
2,baseline,A,0,1127324902,1.127324902,50331648,4,0,0,310636835317481,310637964686541,1129369060
3,post_fault,B,1,1221589952,1.221589952,50331648,4,0,0,310637978302541,310639201475067,1223172526
4,post_fault,B,1,1147181796,1.147181796,50331648,4,0,0,310639201540798,310640352516688,1150975890
5,post_fault,B,1,1115525917,1.115525917,50331648,4,0,0,310640352589769,310641469624690,1117034921
