t_monotonic_ns,event,rank,version,route,effective_round
310637977726205,RECOVERY_PROPOSE,,1,B,3
310637977814806,READY,0,1,B,3
310637977837287,READY,1,1,B,3
310637977893547,READY,2,1,B,3
310637977976108,READY,3,1,B,3
310637978086619,COMMITTED,0,1,,
310637978115900,COMMITTED,1,1,,
310637978142009,COMMITTED,2,1,,
310637978188610,COMMITTED,3,1,,
310637978259330,RECOVERY_COMMIT,,1,B,3
