rank,round_id,period,route,version,duration_ns,duration_s,bytes_sent,bytes_received,frame_count,checksum_errors,version_errors,step_durations_ns
0,0,warmup,A,0,1151228944,1.151228944,12582912,12582912,6,0,0,"[223086688, 174305458, 198391810, 174438428, 205842515, 174941813]"
1,0,warmup,A,0,1161790325,1.161790325,12582912,12582912,6,0,0,"[187526684, 217606909, 175245186, 218871540, 173404259, 188906716]"
2,0,warmup,A,0,1158292145,1.158292145,12582912,12582912,6,0,0,"[228236773, 174690700, 194362984, 175425137, 209355406, 175975922]"
3,0,warmup,A,0,1167475905,1.167475905,12582912,12582912,6,0,0,"[186423644, 223122378, 174949073, 204878738, 176019552, 201827199]"
0,1,baseline,A,0,1129771283,1.129771283,12582912,12582912,6,0,0,"[191199816, 176458907, 216822013, 176031102, 193179264, 175879451]"
1,1,baseline,A,0,1132722559,1.132722559,12582912,12582912,6,0,0,"[179675835, 195341232, 175180565, 213718735, 176359585, 192228935]"
2,1,baseline,A,0,1150560446,1.150560446,12582912,12582912,6,0,0,"[190377599, 176424825, 209750601, 174546179, 223649752, 175616298]"
3,1,baseline,A,0,1155013396,1.155013396,12582912,12582912,6,0,0,"[180605383, 200138295, 175743259, 198352629, 176742078, 223188699]"
0,2,baseline,A,0,1125535615,1.125535615,12582912,12582912,6,0,0,"[182908582, 195306432, 174445068, 199778802, 176368325, 196527242]"
1,2,baseline,A,0,1122638600,1.1226386,12582912,12582912,6,0,0,"[183474688, 180712884, 210918350, 175856811, 196816886, 174661720]"
2,2,baseline,A,0,1127324902,1.127324902,12582912,12582912,6,0,0,"[186011460, 185585657, 176119924, 205837226, 177059611, 196511463]"
3,2,baseline,A,0,1119503893,1.119503893,12582912,12582912,6,0,0,"[181522041, 184238734, 205345870, 174778091, 197345910, 176044022]"
0,3,post_fault,B,1,1187763724,1.187763724,12582912,12582912,6,0,0,"[226090464, 175249795, 218436095, 178596185, 214530282, 174624889]"
1,3,post_fault,B,1,1221589952,1.221589952,12582912,12582912,6,0,0,"[185720887, 225618840, 175200866, 219943520, 175959692, 238929387]"
2,3,post_fault,B,1,1171124518,1.171124518,12582912,12582912,6,0,0,"[238855106, 174525139, 188253230, 175434298, 219372074, 174459028]"
3,3,post_fault,B,1,1196543782,1.196543782,12582912,12582912,6,0,0,"[185143734, 251670759, 181396699, 204771406, 176166304, 197201459]"
0,4,post_fault,B,1,1123490086,1.123490086,12582912,12582912,6,0,0,"[183396447, 204103171, 175948832, 189296209, 182164677, 188355370]"
1,4,post_fault,B,1,1120003737,1.120003737,12582912,12582912,6,0,0,"[186280843, 176054833, 219866949, 177884279, 175766880, 183955523]"
2,4,post_fault,B,1,1123793750,1.12379375,12582912,12582912,6,0,0,"[180549132, 193613928, 175499558, 212936447, 185972148, 175013852]"
3,4,post_fault,B,1,1147181796,1.147181796,12582912,12582912,6,0,0,"[194172193, 174572200, 201707849, 175860440, 194430905, 206211508]"
0,5,post_fault,B,1,1115525917,1.115525917,12582912,12582912,6,0,0,"[185128944, 177356933, 191966793, 176810579, 195955659, 188053199]"
1,5,post_fault,B,1,1106589989,1.106589989,12582912,12582912,6,0,0,"[184466406, 198054937, 177036241, 177469455, 175819740, 193521487]"
2,5,post_fault,B,1,1096300427,1.096300427,12582912,12582912,6,0,0,"[180485713, 183164876, 197181479, 178202122, 177492306, 179541223]"
3,5,post_fault,B,1,1102223870,1.10222387,12582912,12582912,6,0,0,"[182662691, 192743650, 174289307, 197735654, 179708165, 174883042]"
