run_id,experiment_family,scenario_id,condition,topology,status,correctness_status,link_operstate,detector_operstate,fault_interface,detector_interface,injector_detector_isolated,selected_retention,fault_period_retention,post_recovery_retention,baseline_median_mbit_s,selected_median_mbit_s,switch_triggered,l_switch_ms,host_action,l_host_ms,recovery_committed,l_coordination_ms,l_fault_to_commit_ms,l_detection_ms,l_commit_to_recovered_round_ms,l_fault_to_recovered_round_complete_ms,recovery_policy,changed_slot_count,changed_sender_ranks,active_active_use_passed,locality_passed,checksum_errors,version_errors,gate_pass,gate_failures,run_directory
aa13_lossfast_rep01,active_active_v1,AA13_LOSSFAST,C2,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.9863984883268885,0.9863984883268885,,371.19483808157884,366.1460271584135,True,18.503816,,,False,,,,,,none,0,[],True,,0,0,True,,results_m4c_lossfast/l2/aa13_lossfast_rep01
aa13_lossfast_rep02,active_active_v1,AA13_LOSSFAST,C2,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.9840030192648159,0.9840030192648159,,372.2296113940608,366.27506147152496,True,387.338109,,,False,,,,,,none,0,[],True,,0,0,True,,results_m4c_lossfast/l2/aa13_lossfast_rep02
aa13_lossfast_rep03,active_active_v1,AA13_LOSSFAST,C2,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.9818090904081129,0.9818090904081129,,371.54874261235034,364.78993302650974,True,1480.58119,,,False,,,,,,none,0,[],True,,0,0,True,,results_m4c_lossfast/l2/aa13_lossfast_rep03
