rank,round_id,period,route,version,duration_ns,duration_s,bytes_sent,bytes_received,frame_count,checksum_errors,version_errors,step_durations_ns
0,0,warmup,A,0,1142167243,1.142167243,12582912,12582912,6,0,0,"[209903591, 174891282, 223922566, 177821437, 179028329, 176383246]"
1,0,warmup,A,0,1146576832,1.146576832,12582912,12582912,6,0,0,"[185168043, 229146520, 174778191, 200897321, 178134401, 178201271]"
2,0,warmup,A,0,1150524017,1.150524017,12582912,12582912,6,0,0,"[204906427, 175845721, 226600418, 175495457, 187421513, 179986336]"
3,0,warmup,A,0,1150135802,1.150135802,12582912,12582912,6,0,0,"[183788761, 214374421, 175491796, 211868888, 175703959, 188685433]"
0,1,baseline,A,0,1097092374,1.097092374,12582912,12582912,6,0,0,"[181890073, 182397568, 182372409, 177548265, 197761224, 174739751]"
1,1,baseline,A,0,1138151936,1.138151936,12582912,12582912,6,0,0,"[185815619, 180438212, 182088746, 197238759, 175579998, 216785022]"
2,1,baseline,A,0,1104460470,1.10446047,12582912,12582912,6,0,0,"[185282683, 178222762, 181921524, 180347130, 202698757, 175773029]"
3,1,baseline,A,0,1123047434,1.123047434,12582912,12582912,6,0,0,"[186012170, 181374629, 178017941, 187981068, 176694667, 212744826]"
0,2,baseline,A,0,1103395392,1.103395392,12582912,12582912,6,0,0,"[186163162, 176187374, 198563352, 175466497, 190578470, 176232914]"
1,2,baseline,A,0,1113947804,1.113947804,12582912,12582912,6,0,0,"[180019408, 186571925, 177292462, 215091867, 178238321, 176535147]"
2,2,baseline,A,0,1116020982,1.116020982,12582912,12582912,6,0,0,"[190751423, 175190836, 187617625, 178539545, 206186198, 177493026]"
3,2,baseline,A,0,1117687548,1.117687548,12582912,12582912,6,0,0,"[181079147, 194710978, 176595417, 193531177, 175523668, 196036590]"
0,3,post_fault,A,0,4604777608,4.604777608,12582912,12582912,6,0,0,"[182245208, 887543735, 890072260, 883042107, 878439886, 883170858]"
1,3,post_fault,A,0,3899777000,3.899777,12582912,12582912,6,0,0,"[186518375, 672984445, 578402331, 701146474, 883103978, 877418208]"
2,3,post_fault,A,0,4459376175,4.459376175,12582912,12582912,6,0,0,"[828319933, 571373038, 598864531, 688903506, 899424152, 872269192]"
3,3,post_fault,A,0,5295499909,5.295499909,12582912,12582912,6,0,0,"[889947937, 888748548, 884493550, 878001243, 878745149, 875363499]"
0,4,post_fault,B,1,1135750405,1.135750405,12582912,12582912,6,0,0,"[185207193, 217365247, 175635860, 188403121, 192457987, 176398635]"
1,4,post_fault,B,1,1155988825,1.155988825,12582912,12582912,6,0,0,"[206790473, 174878122, 200728421, 192965522, 176668177, 203778637]"
2,4,post_fault,B,1,1138181597,1.138181597,12582912,12582912,6,0,0,"[185610696, 221262431, 179724265, 176939511, 200545670, 173919683]"
3,4,post_fault,B,1,1161831335,1.161831335,12582912,12582912,6,0,0,"[193159692, 175525968, 217249976, 184986482, 178905987, 211816457]"
0,5,post_fault,B,1,1301851650,1.30185165,12582912,12582912,6,0,0,"[352687700, 184532447, 179366172, 178349503, 219568766, 187144030]"
1,5,post_fault,B,1,1312098782,1.312098782,12582912,12582912,6,0,0,"[352410596, 187759086, 178574964, 192724770, 175482908, 224972154]"
2,5,post_fault,B,1,1267880562,1.267880562,12582912,12582912,6,0,0,"[349716574, 184614008, 186505154, 176308185, 194909679, 175645820]"
3,5,post_fault,B,1,1300883993,1.300883993,12582912,12582912,6,0,0,"[349693944, 183032854, 182472839, 219096142, 186470524, 179900037]"
0,6,post_fault,B,1,1123308875,1.123308875,12582912,12582912,6,0,0,"[182990114, 188864245, 175923831, 221325512, 176621677, 177405084]"
1,6,post_fault,B,1,1125850778,1.125850778,12582912,12582912,6,0,0,"[186553675, 175759530, 201264635, 175456927, 210513667, 176135432]"
2,6,post_fault,B,1,1129664781,1.129664781,12582912,12582912,6,0,0,"[179935556, 201591298, 176516526, 184388826, 176531847, 210497626]"
3,6,post_fault,B,1,1117391804,1.117391804,12582912,12582912,6,0,0,"[183729590, 176048573, 229270403, 174801321, 177251983, 176035263]"
