t_monotonic_ns,event,rank,version,route,effective_round
310596606954814,RECOVERY_PROPOSE,,1,B,4
310596607084645,READY,1,1,B,4
310596607151256,READY,2,1,B,4
310596607215497,READY,3,1,B,4
310596607058135,READY,0,1,B,4
310596607379408,COMMITTED,3,1,,
310596607386159,COMMITTED,1,1,,
310596607413789,COMMITTED,2,1,,
310596607363527,COMMITTED,0,1,,
310596607529819,RECOVERY_COMMIT,,1,B,4
