round_id,period,route,version,duration_ns,duration_s,bytes_completed,rank_count,checksum_errors,version_errors,orchestrator_command_start_ns,orchestrator_command_end_ns,orchestrator_duration_ns
0,warmup,A,0,1150524017,1.150524017,50331648,4,0,0,310587862898534,310589018087471,1155188937
1,baseline,A,0,1138151936,1.138151936,50331648,4,0,0,310589018167272,310590158666119,1140498847
2,baseline,A,0,1117687548,1.117687548,50331648,4,0,0,310590158750100,310591279272722,1120522622
3,post_fault,A,0,5295499909,5.295499909,50331648,4,0,0,310591294304004,310596592607468,5298303464
4,post_fault,B,1,1161831335,1.161831335,50331648,4,0,0,310596607543889,310597771366742,1163822853
5,post_fault,B,1,1312098782,1.312098782,50331648,4,0,0,310597771422963,310599084847136,1313424173
6,post_fault,B,1,1129664781,1.129664781,50331648,4,0,0,310599084895186,310600216582366,1131687180
