rank,round_id,period,route,version,duration_ns,duration_s,bytes_sent,bytes_received,frame_count,checksum_errors,version_errors,step_durations_ns
0,0,warmup,A,0,1204186246,1.204186246,12582912,12582912,6,0,0,"[248916854, 179795395, 198122526, 192847460, 206177099, 177942980]"
1,0,warmup,A,0,1206048773,1.206048773,12582912,12582912,6,0,0,"[182746730, 246690425, 183187575, 203039671, 183243597, 206907636]"
2,0,warmup,A,0,1176540192,1.176540192,12582912,12582912,6,0,0,"[264987595, 186284672, 175088143, 175584198, 197500292, 176869190]"
3,0,warmup,A,0,1177090777,1.177090777,12582912,12582912,6,0,0,"[182668440, 260963480, 193802067, 178811127, 175025124, 185604497]"
0,1,baseline,A,0,1135576364,1.135576364,12582912,12582912,6,0,0,"[200465938, 175604558, 199561359, 176221204, 202287775, 181211937]"
1,1,baseline,A,0,1133049132,1.133049132,12582912,12582912,6,0,0,"[178823717, 213690113, 176273115, 184814930, 176409676, 202821510]"
2,1,baseline,A,0,1115500139,1.115500139,12582912,12582912,6,0,0,"[195483554, 175343246, 213302391, 174998453, 180718894, 175446617]"
3,1,baseline,A,0,1118253771,1.118253771,12582912,12582912,6,0,0,"[179902126, 198402600, 175171894, 206658863, 175851060, 182050065]"
0,2,baseline,A,0,1139914143,1.139914143,12582912,12582912,6,0,0,"[192127014, 174174996, 197240369, 177791278, 193361546, 204996958]"
1,2,baseline,A,0,1115613078,1.115613078,12582912,12582912,6,0,0,"[179920577, 211229583, 175764011, 177118992, 183813511, 187533944]"
2,2,baseline,A,0,1113164886,1.113164886,12582912,12582912,6,0,0,"[185590906, 175284135, 211839429, 187495053, 176207635, 176551367]"
3,2,baseline,A,0,1126785357,1.126785357,12582912,12582912,6,0,0,"[180840094, 195201601, 175090364, 202641786, 198072226, 174735502]"
0,3,post_fault,A,0,1119721234,1.119721234,12582912,12582912,6,0,0,"[183010104, 177210592, 208517118, 172978735, 202404455, 175376526]"
1,3,post_fault,A,0,1152666175,1.152666175,12582912,12582912,6,0,0,"[184173514, 193982030, 175476087, 210988280, 175777210, 212065481]"
2,3,post_fault,A,0,1128559002,1.128559002,12582912,12582912,6,0,0,"[184768600, 179090849, 204246761, 174488559, 209172584, 176575106]"
3,3,post_fault,A,0,1162869455,1.162869455,12582912,12582912,6,0,0,"[179818917, 194162223, 175515428, 206028316, 175825881, 231322639]"
0,4,post_fault,A,0,1131244005,1.131244005,12582912,12582912,6,0,0,"[185345784, 181447149, 197157509, 182168325, 193043683, 191873652]"
1,4,post_fault,A,0,1137731113,1.137731113,12582912,12582912,6,0,0,"[183844471, 216514169, 184263874, 175982162, 176370985, 200544799]"
2,4,post_fault,A,0,1122313937,1.122313937,12582912,12582912,6,0,0,"[185693337, 177207792, 215947625, 191780182, 175735130, 175715420]"
3,4,post_fault,A,0,1159574525,1.159574525,12582912,12582912,6,0,0,"[185608546, 197036497, 179815565, 195304312, 191817482, 209802220]"
0,5,post_fault,A,0,1114766311,1.114766311,12582912,12582912,6,0,0,"[185605546, 178584764, 177746647, 201004203, 176805140, 194826829]"
1,5,post_fault,A,0,1099960109,1.099960109,12582912,12582912,6,0,0,"[183897412, 180846264, 193919599, 176305104, 189164988, 175643529]"
2,5,post_fault,A,0,1130615111,1.130615111,12582912,12582912,6,0,0,"[182025666, 186959099, 175324276, 195164030, 176372835, 214522192]"
3,5,post_fault,A,0,1100367213,1.100367213,12582912,12582912,6,0,0,"[179249081, 181692573, 200286506, 177099182, 186455813, 175403556]"
