run_id,experiment_family,scenario_id,condition,topology,status,correctness_status,link_operstate,detector_operstate,fault_interface,detector_interface,injector_detector_isolated,selected_retention,fault_period_retention,post_recovery_retention,baseline_median_mbit_s,selected_median_mbit_s,switch_triggered,l_switch_ms,host_action,l_host_ms,recovery_committed,l_coordination_ms,l_fault_to_commit_ms,l_detection_ms,l_commit_to_recovered_round_ms,l_fault_to_recovered_round_complete_ms,recovery_policy,changed_slot_count,changed_sender_ranks,active_active_use_passed,locality_passed,checksum_errors,version_errors,gate_pass,gate_failures,run_directory
aa12_policy_rep01,active_active_v1,AA12_POLICY,C3,dual,failed,fail,up,up,w2-eth0,sA-eth3,True,1.0014565449129986,1.0014565449129986,1.0014565449129986,370.17342271693866,370.71259693272435,True,112.895287,confirm,507.538245,True,1.755759,622.189291,620.433532,1100.445083,1722.634374,localized,3,[2],True,False,0,0,False,run status must be complete | correctness must pass,results_m4b_policy_v4/aa12_policy_switch/aa12_policy_rep01
aa12_policy_rep02,active_active_v1,AA12_POLICY,C3,,failed,,,,,,False,,,,,,False,,,,False,,,,,,,0,[],,,-1,-1,False,run status must be complete | correctness must pass | fault interface must remain up | detector interface must remain up | fault injector and detector interfaces must be distinct | detector must not read the injector qdisc | C3 is missing fault_period_retention,results_m4b_policy_v4/aa12_policy_switch/aa12_policy_rep02
aa12_policy_rep03,active_active_v1,AA12_POLICY,C3,,failed,,,,,,False,,,,,,False,,,,False,,,,,,,0,[],,,-1,-1,False,run status must be complete | correctness must pass | fault interface must remain up | detector interface must remain up | fault injector and detector interfaces must be distinct | detector must not read the injector qdisc | C3 is missing fault_period_retention,results_m4b_policy_v4/aa12_policy_switch/aa12_policy_rep03
