rank,round_id,period,route,version,duration_ns,duration_s,bytes_sent,bytes_received,frame_count,checksum_errors,version_errors,step_durations_ns
0,0,warmup,A,0,1172059026,1.172059026,12582912,12582912,6,0,0,"[201299254, 177225372, 224410179, 196307811, 197035057, 175526588]"
1,0,warmup,A,0,1177806297,1.177806297,12582912,12582912,6,0,0,"[186580796, 194620695, 183849731, 220057561, 193169813, 199313428]"
2,0,warmup,A,0,1164004314,1.164004314,12582912,12582912,6,0,0,"[241274297, 176031632, 175250575, 175552158, 216509798, 179155751]"
3,0,warmup,A,0,1164512820,1.16451282,12582912,12582912,6,0,0,"[184475268, 236906499, 196543963, 180184929, 174525419, 191648951]"
0,1,baseline,A,0,1136652794,1.136652794,12582912,12582912,6,0,0,"[180120868, 183140275, 178415763, 201635368, 175549727, 217441399]"
1,1,baseline,A,0,1106387377,1.106387377,12582912,12582912,6,0,0,"[187592434, 174383817, 192486226, 176135334, 201383267, 174185937]"
2,1,baseline,A,0,1135461063,1.135461063,12582912,12582912,6,0,0,"[183669279, 183644029, 176471656, 207425588, 176310515, 207712332]"
3,1,baseline,A,0,1105337567,1.105337567,12582912,12582912,6,0,0,"[183879003, 178122091, 195265431, 175540038, 197818455, 174522659]"
0,2,baseline,A,0,1113844293,1.113844293,12582912,12582912,6,0,0,"[188893946, 175141075, 216932664, 176697478, 180189379, 175784500]"
1,2,baseline,A,0,1133095532,1.133095532,12582912,12582912,6,0,0,"[181319798, 205988337, 175172424, 198409030, 176228113, 195778036]"
2,2,baseline,A,0,1120610101,1.120610101,12582912,12582912,6,0,0,"[196223641, 174499619, 204170911, 175941792, 195913398, 173657842]"
3,2,baseline,A,0,1143550875,1.143550875,12582912,12582912,6,0,0,"[181788984, 197615433, 175373216, 198656332, 176922540, 212985227]"
0,3,post_fault,A,0,4593746530,4.59374653,12582912,12582912,6,0,0,"[183989833, 890687784, 882095439, 880380494, 882948476, 873414582]"
1,3,post_fault,A,0,3898822242,3.898822242,12582912,12582912,6,0,0,"[349472602, 311939960, 590780381, 882700095, 880524615, 883185259]"
2,3,post_fault,A,0,4701489009,4.701489009,12582912,12582912,6,0,0,"[666493327, 563449449, 850426020, 876709312, 872169971, 872033250]"
3,3,post_fault,A,0,5286481859,5.286481859,12582912,12582912,6,0,0,"[893029676, 881568994, 881729707, 876256097, 878521547, 875153257]"
0,4,post_fault,B,1,1252584416,1.252584416,12582912,12582912,6,0,0,"[219910550, 175595528, 240642193, 176747378, 190211817, 249296379]"
1,4,post_fault,B,1,1183218774,1.183218774,12582912,12582912,6,0,0,"[184561478, 218230254, 175227584, 237661226, 177124573, 190203717]"
2,4,post_fault,B,1,1182616379,1.182616379,12582912,12582912,6,0,0,"[240907494, 175356376, 208428330, 175003413, 205988337, 176740569]"
3,4,post_fault,B,1,1321193351,1.321193351,12582912,12582912,6,0,0,"[183292877, 243941511, 176149573, 199666991, 176727089, 341232799]"
0,5,post_fault,B,1,1318295785,1.318295785,12582912,12582912,6,0,0,"[251968152, 199126856, 176813349, 281551403, 223430210, 185224874]"
1,5,post_fault,B,1,1317045014,1.317045014,12582912,12582912,6,0,0,"[370032122, 175674019, 177024521, 181740803, 197285459, 215093436]"
2,5,post_fault,B,1,1281320400,1.2813204,12582912,12582912,6,0,0,"[179623435, 370306725, 201263115, 174918232, 176264924, 178766607]"
3,5,post_fault,B,1,1312724827,1.312724827,12582912,12582912,6,0,0,"[271169182, 176154193, 282419081, 223076156, 183384368, 176355076]"
0,6,post_fault,B,1,1102680363,1.102680363,12582912,12582912,6,0,0,"[182595181, 178417124, 193481696, 175892921, 197713233, 174403277]"
1,6,post_fault,B,1,1121481000,1.121481,12582912,12582912,6,0,0,"[184109324, 184482536, 175660049, 189863734, 176485026, 210708068]"
2,6,post_fault,B,1,1100332553,1.100332553,12582912,12582912,6,0,0,"[182897744, 180418880, 188191280, 175412208, 199651312, 173543162]"
3,6,post_fault,B,1,1125671777,1.125671777,12582912,12582912,6,0,0,"[181197309, 188776785, 175828011, 186274682, 175087523, 218319776]"
