t_monotonic_ns,event,rank,version,route,effective_round
310627664636129,RECOVERY_PROPOSE,,1,B,4
310627664765121,READY,1,1,B,4
310627664776981,READY,0,1,B,4
310627664845332,READY,2,1,B,4
310627664905531,READY,3,1,B,4
310627665046793,COMMITTED,0,1,,
310627665058993,COMMITTED,3,1,,
310627665082013,COMMITTED,1,1,,
310627665102173,COMMITTED,2,1,,
310627665167534,RECOVERY_COMMIT,,1,B,4
