t_monotonic_ns,event,rank,version,route,effective_round
310647938812108,RECOVERY_PROPOSE,,1,B,3
310647938996759,READY,3,1,B,3
310647938929840,READY,2,1,B,3
310647938986100,READY,1,1,B,3
310647938909379,READY,0,1,B,3
310647939328143,COMMITTED,1,1,,
310647939353053,COMMITTED,0,1,,
310647939505484,COMMITTED,3,1,,
310647939446563,COMMITTED,2,1,,
310647939632855,RECOVERY_COMMIT,,1,B,3
