round_id,period,route,version,duration_ns,duration_s,bytes_completed,rank_count,checksum_errors,version_errors,orchestrator_command_start_ns,orchestrator_command_end_ns,orchestrator_duration_ns
0,warmup,A,0,1152361057,1.152361057,50331648,4,0,0,310543334698633,310544489798714,1155100081
1,baseline,A,0,1135834206,1.135834206,50331648,4,0,0,310544489867734,310545632276158,1142408424
2,baseline,A,0,1167925911,1.167925911,50331648,4,0,0,310545632352349,310546802368897,1170016548
3,post_fault,A,0,5290824757,5.290824757,50331648,4,0,0,310546816598903,310552111079322,5294480419
4,post_fault,A,0,5378931775,5.378931775,50331648,4,0,0,310552111163523,310557492351928,5381188405
5,post_fault,A,0,5283348301,5.283348301,50331648,4,0,0,310557492404298,310562778537134,5286132836
