rank,round_id,period,route,version,duration_ns,duration_s,bytes_sent,bytes_received,frame_count,checksum_errors,version_errors,step_durations_ns
0,0,warmup,A,0,1168402632,1.168402632,12582912,12582912,6,0,0,"[222911595, 174466998, 208421698, 176228613, 210694678, 175426487]"
1,0,warmup,A,0,1176023149,1.176023149,12582912,12582912,6,0,0,"[185640136, 232958764, 174624240, 206328499, 177347204, 198907335]"
2,0,warmup,A,0,1162667702,1.162667702,12582912,12582912,6,0,0,"[194499306, 175181864, 230134559, 175287796, 211692167, 175632969]"
3,0,warmup,A,0,1176559683,1.176559683,12582912,12582912,6,0,0,"[183179154, 240525651, 174542199, 201620047, 174729480, 201732359]"
0,1,baseline,A,0,1109958529,1.109958529,12582912,12582912,6,0,0,"[187311361, 175979112, 212932138, 180941096, 176762759, 175793891]"
1,1,baseline,A,0,1116690127,1.116690127,12582912,12582912,6,0,0,"[175991952, 187340821, 175885881, 211963749, 181516191, 179743845]"
2,1,baseline,A,0,1115702129,1.115702129,12582912,12582912,6,0,0,"[187206030, 175580508, 204926988, 177213933, 189799514, 180754694]"
3,1,baseline,A,0,1112352141,1.112352141,12582912,12582912,6,0,0,"[179949948, 187426393, 174202977, 203246792, 177095432, 190202288]"
0,2,baseline,A,0,1142356973,1.142356973,12582912,12582912,6,0,0,"[191522449, 174945252, 214575122, 176505577, 189782234, 194788437]"
1,2,baseline,A,0,1128199649,1.128199649,12582912,12582912,6,0,0,"[178893558, 196006199, 176851820, 208354147, 183938562, 183975233]"
2,2,baseline,A,0,1123412296,1.123412296,12582912,12582912,6,0,0,"[191352726, 175592868, 221434813, 174325488, 176936271, 183572249]"
3,2,baseline,A,0,1136630423,1.136630423,12582912,12582912,6,0,0,"[180065298, 197986246, 175831250, 212967608, 194546735, 175051402]"
0,3,post_fault,A,0,4591971156,4.591971156,12582912,12582912,6,0,0,"[181629271, 895588538, 883333330, 877671959, 877263897, 876260557]"
1,3,post_fault,A,0,3894069131,3.894069131,12582912,12582912,6,0,0,"[179096840, 375588912, 701611827, 882520283, 878533297, 876500220]"
2,3,post_fault,A,0,4447312019,4.447312019,12582912,12582912,6,0,0,"[542239122, 597937853, 688787674, 873296121, 872885456, 871946358]"
3,3,post_fault,A,0,5289782019,5.289782019,12582912,12582912,6,0,0,"[897431665, 883371270, 877139316, 876654380, 877424458, 877519759]"
0,4,post_fault,A,0,4688930780,4.68893078,12582912,12582912,6,0,0,"[181244968, 893784412, 982954678, 877606450, 877110894, 876010245]"
1,4,post_fault,A,0,3991158956,3.991158956,12582912,12582912,6,0,0,"[179226581, 182177896, 892590693, 982959577, 877408138, 876557950]"
2,4,post_fault,A,0,4840657728,4.840657728,12582912,12582912,6,0,0,"[316286019, 627275172, 978412109, 874717574, 871372124, 1172361768]"
3,4,post_fault,A,0,5386087149,5.386087149,12582912,12582912,6,0,0,"[894526788, 982745307, 878441547, 877392727, 875821344, 876948904]"
0,5,post_fault,A,0,4615463752,4.615463752,12582912,12582912,6,0,0,"[180811125, 891475922, 885747222, 904771389, 874605813, 877826811]"
1,5,post_fault,A,0,3916028403,3.916028403,12582912,12582912,6,0,0,"[194175443, 235019393, 821531925, 886489377, 905141101, 873470322]"
2,5,post_fault,A,0,4764687118,4.764687118,12582912,12582912,6,0,0,"[411413487, 587058226, 824392249, 892632471, 877901692, 1171106788]"
3,5,post_fault,A,0,5311080976,5.311080976,12582912,12582912,6,0,0,"[892394250, 884873924, 906570315, 874006777, 877408068, 875621781]"
